A Ashish Reddy,2
A Chandila,6
A Chopra,6
A Choudhary,0
A Flintoff,6
A Kumble,4
A Mishra,4
A Mithun,6
A Mukund,5
A Nehra,2
A Singh,4
A Symonds,3
A Uniyal,2
A Zampa,4
AA Bilakhia,5
AA Chavan,6
AA Jhunjhunwala,5
AA Noffke,4
AB Agarkar,4
AB Barath,3
AB de Villiers,2
AB Dinda,0
AB McDonald,6
AC Blizzard,2
AC Gilchrist,4
AC Thomas,0
AC Voges,6
AD Mascarenhas,0
AD Mathews,5
AD Nath,4
AD Russell,2
AF Milne,4
AG Murtaza,2
AG Paunikar,5
AJ Finch,1
AJ Tye,4
AL Menaria,2
AM Nayar,6
AM Rahane,2
AN Ahmed,5
AN Ghosh,2
Anirudh Singh,8
Ankit Sharma,4
Ankit Soni,0
Anureet Singh,4
AP Dole,6
AP Majumdar,5
AP Tare,5
AR Bawne,2
AR Patel,8
AS Rajpoot,0
AS Raut,6
AS Yadav,0
AT Rayudu,2
AUK Pathan,4
Azhar Mahmood,4
B Akhil,0
B Chipli,6
B Kumar,4
B Laughlin,0
B Lee,2
B Sumanth,8
BA Bhatt,6
BA Stokes,0
Basil Thampi,2
BAW Mendis,2
BB McCullum,3
BB Samantray,1
BB Sran,4
BCJ Cutting,0
BE Hendricks,2
Bipul Sharma,6
BJ Haddin,8
BJ Hodge,8
BJ Rohrer,2
BMAJ Mendis,5
BR Dunk,5
C de Grandhomme,4
C Madan,2
C Munro,4
CA Ingram,9
CA Lynn,5
CA Pujara,4
CH Gayle,6
CH Morris,5
CJ Anderson,6
CJ Ferguson,6
CJ Jordan,6
CJ McKay,6
CK Kapugedera,4
CK Langeveldt,4
CL White,6
CM Gautam,6
CR Brathwaite,2
CR Woakes,2
CRD Fernando,3
D du Preez,6
D Kalyankrishna,4
D Salunkhe,5
D Wiese,6
DA Miller,6
DA Warner,6
DAJ Bracewell,0
DB Das,0
DB Ravi Teja,6
DE Bollinger,6
DH Yagnik,6
DJ Bravo,5
DJ Harris,2
DJ Hooda,5
DJ Hussey,6
DJ Jacobs,0
DJ Muthuswami,2
DJ Thornely,4
DJG Sammy,6
DL Chahar,2
DL Vettori,5
DM Bravo,8
DNT Zoysa,6
DP Nannes,4
DP Vijaykumar,0
DPMD Jayawardene,0
DR Martyn,0
DR Smith,4
DS Kulkarni,0
DS Lehmann,6
DT Christian,4
DT Patil,3
DW Steyn,0
EJG Morgan,1
ER Dwivedi,3
F Behardien,8
F du Plessis,2
FH Edwards,4
FY Fazal,4
G Gambhir,0
GB Hogg,6
GC Smith,2
GD McGrath,1
GH Vihari,5
GJ Bailey,6
GJ Maxwell,4
GR Napier,2
Gurkeerat Singh,1
H Das,5
Harbhajan Singh,3
Harmeet Singh,0
Harpreet Singh,6
HH Gibbs,4
HH Pandya,8
HM Amla,5
HV Patel,2
I Malhotra,4
I Sharma,2
IK Pathan,3
Imran Tahir,4
Iqbal Abdulla,6
IR Jaggi,5
Ishan Kishan,4
J Arunkumar,6
J Botha,6
J Suchith,5
J Syed Mohammad,8
J Theron,5
J Yadav,1
JA Morkel,4
Jaskaran Singh,7
JC Buttler,8
JD Ryder,6
JD Unadkat,5
JDP Oram,6
JDS Neesham,8
JE Taylor,4
JEC Franklin,8
JH Kallis,2
JJ Bumrah,8
JJ Roy,4
JJ van der Wath,5
JM Kemp,4
JO Holder,0
Joginder Sharma,5
JP Duminy,0
JP Faulkner,6
JR Hopes,0
K Goel,0
K Rabada,6
K Upadhyay,8
KA Pollard,2
KAJ Roach,3
Kamran Akmal,5
Kamran Khan,3
Karanveer Singh,1
KB Arun Karthik,6
KC Cariappa,4
KC Sangakkara,5
KD Karthik,7
KH Pandya,2
KJ Abbott,4
KK Cooper,0
KK Nair,0
KL Rahul,7
KM Jadhav,7
KMDN Kulasekara,4
KP Appanna,6
KP Pietersen,4
KS Williamson,8
Kuldeep Yadav,2
KV Sharma,2
KW Richardson,6
L Balaji,7
L Ronchi,3
LA Carseldine,6
LA Pomersbach,0
LH Ferguson,5
LJ Wright,2
LMP Simmons,3
LPC Silva,4
LR Shukla,5
LRPL Taylor,2
M de Lange,6
M Kaif,0
M Kartik,2
M Klinger,0
M Manhas,6
M Morkel,2
M Muralitharan,0
M Ntini,5
M Rawat,7
M Vijay,0
M Vohra,5
MA Agarwal,4
MA Khote,0
MA Starc,6
Mandeep Singh,2
Mashrafe Mortaza,1
MC Henriques,3
MC Juneja,4
MD Mishra,5
MDKJ Perera,7
MEK Hussey,3
MF Maharoof,4
MG Johnson,2
Misbah-ul-Haq,3
MJ Clarke,6
MJ Guptill,4
MJ Lumb,2
MJ McClenaghan,2
MK Pandey,6
MK Tiwary,5
ML Hayden,6
MM Patel,8
MM Sharma,4
MN Samuels,2
MN van Wyk,4
Mohammad Ashraful,9
Mohammad Asif,6
Mohammad Hafeez,4
Mohammad Nabi,4
Mohammed Shami,9
MP Stoinis,4
MR Marsh,0
MS Bisla,2
MS Dhoni,5
MS Gony,1
MS Wade,0
MV Boucher,4
N Rana,2
N Saini,2
NJ Maddinson,5
NJ Rimmington,4
NK Patel,0
NL McCullum,5
NLTC Perera,2
NM Coulter-Nile,2
NS Naik,1
NV Ojha,4
OA Shah,6
P Awana,2
P Dogra,7
P Kumar,3
P Negi,0
P Parameswaran,5
P Sahu,0
PA Patel,2
PA Reddy,5
Pankaj Singh,8
Parvez Rasool,3
PC Valthaty,5
PD Collingwood,2
PJ Cummins,5
PJ Sangwan,4
PM Sarvesh Kumar,0
PP Chawla,4
PP Ojha,6
PR Shah,4
PSP Handscomb,7
PV Tambe,0
Q de Kock,4
R Ashwin,2
R Bhatia,2
R Bishnoi,8
R Dhawan,6
R Dravid,3
R McLaren,2
R Ninan,6
R Rampaul,6
R Sathish,0
R Sharma,7
R Shukla,6
R Tewatia,3
R Vinay Kumar,5
RA Jadeja,6
RA Tripathi,5
Rashid Khan,0
RD Chahar,5
RE Levi,9
RE van der Merwe,6
RG More,4
RG Sharma,2
RJ Harris,2
RJ Peterson,2
RJ Quiney,4
RN ten Doeschate,8
RP Singh,5
RR Pant,2
RR Powar,9
RR Raje,4
RR Rossouw,4
RR Sarwan,2
RS Bopara,4
RS Gavaskar,8
RS Sodhi,0
RT Ponting,6
RV Gomez,6
RV Uthappa,6
S Anirudha,3
S Aravind,2
S Badree,8
S Badrinath,2
S Chanderpaul,2
S Dhawan,4
S Gopal,3
S Kaul,0
S Nadeem,4
S Narwal,4
S Rana,5
S Randiv,0
S Sohal,4
S Sreesanth,5
S Sriram,5
S Tyagi,0
S Vidyut,2
SA Abbott,0
SA Asnodkar,3
SA Yadav,0
Sachin Baby,2
Salman Butt,6
Sandeep Sharma,6
SB Bangar,6
SB Jakati,5
SB Joshi,2
SB Styris,6
SB Wagh,2
SC Ganguly,6
SD Chitnis,3
SE Bond,2
SE Marsh,5
Shahid Afridi,6
Shakib Al Hasan,4
Shivam Sharma,2
Shoaib Ahmed,0
Shoaib Akhtar,5
Shoaib Malik,5
SJ Srivastava,5
SK Raina,1
SK Trivedi,1
SK Warne,2
SL Malinga,8
SM Harwood,3
SM Katich,5
SM Pollock,2
SMSM Senanayake,8
SN Khan,8
SN Thakur,2
Sohail Tanvir,0
SP Fleming,5
SP Goswami,3
SP Jackson,4
SP Narine,4
SPD Smith,4
SR Tendulkar,4
SR Watson,7
SS Iyer,2
SS Shaikh,4
SS Tiwary,2
ST Jayasuriya,4
STR Binny,8
Sunny Singh,1
SV Samson,5
SW Billings,1
SW Tait,0
Swapnil Singh,2
T Henderson,5
T Kohli,2
T Taibu,4
T Thushara,6
TA Boult,3
TD Paine,7
TG Southee,4
TL Suman,3
TM Dilshan,2
TM Head,2
TM Srivastava,6
TR Birt,2
TS Mills,0
UA Birla,4
UBT Chand,5
Umar Gul,6
UT Khawaja,5
UT Yadav,4
V Kohli,2
V Sehwag,4
V Shankar,4
VH Zol,4
Vishnu Vinod,8
VR Aaron,5
VRV Singh,0
VS Malik,2
VS Yeligati,3
VVS Laxman,4
VY Mahesh,8
W Jaffer,8
WA Mota,2
Washington Sundar,5
WD Parnell,6
WP Saha,4
WPUJC Vaas,6
X Thalaivan Sargunam,8
Y Gnaneswara Rao,2
Y Nagar,4
Y Venugopal Rao,0
Yashpal Singh,6
YK Pathan,5
Younis Khan,6
YS Chahal,4
Yuvraj Singh,1
YV Takawale,4
Z Khan,5
Evin Lewis,5
Mark Wood,6
Mitchell Santner,0
Moeen Ali,0
Tom Curran,4
Ish Sodhi,2
D'Arcy Short,0
Cameron Delport,0
Dhruv Shorey,0
Rinku Singh,0
Shivam Mavi,0
Maipal Lamror,0
Krishnappa Gowtham,0
Heinrich Klaasen,0
Ricky Bhui,0
Prithvi Shaw,0
L Ngidi,0
Mayank Markande,0
DJ Wiley,0
A Dananjaya,0
Prasidh Krishna,0
S Gill,0
Javon Searles,0
Jofra Archer,0
Kulwant Khejroliya,0